"id","parent_id","facility_level","facility_code","facility_name","type","create_by","create_time","update_by","update_time","remark","is_del","facility_type"
1516,1493,3,"392.CV6","392.CV6",3,admin,"2020-11-15 14:23:16",,,链式输送机,0,0
1517,1493,3,"392.CV7","392.CV7",3,admin,"2020-11-15 14:23:16",,,链式输送机,0,0
1518,1493,3,"392.CV8","392.CV8",3,admin,"2020-11-15 14:23:16",,,链式输送机,0,0
1519,1501,3,"422.FN1","422.FN1",3,admin,"2020-11-15 14:23:16",,,窑尾废气排风机,0,0
1520,1493,3,"391.BE1","391.BE1",3,admin,"2020-11-15 14:23:16",,,斗式提升机,0,0
1521,1493,3,"392.BE1","392.BE1",3,admin,"2020-11-15 14:23:17",,,斗式提升机,0,0
1522,1490,2,"41","41",2,admin,"2020-11-15 14:23:17",,,,0,
1523,1522,3,"411.BLA","411.BLA",3,admin,"2020-11-15 14:23:17",,,罗茨风机,0,1
1524,1522,3,"411.BLB","411.BLB",3,admin,"2020-11-15 14:23:17",,,罗茨风机,0,1
1525,1522,3,"411.BL1","411.BL1",3,admin,"2020-11-15 14:23:17",,,罗茨风机,0,1
1526,1522,3,"411.BL2","411.BL2",3,admin,"2020-11-15 14:23:18",,,罗茨风机,0,1
1527,1522,3,"411.BE1","411.BE1",3,admin,"2020-11-15 14:23:18",,,斗式提升机,0,0
1528,1522,3,"411.BE2","411.BE2",3,admin,"2020-11-15 14:23:18",,,斗式提升机,0,0
1529,1490,2,"43","43",2,admin,"2020-11-15 14:23:18",,,,0,
1530,1529,3,"431.BLA","431.BLA",3,admin,"2020-11-15 14:23:18",,,罗茨风机,0,1
1531,1529,3,"431.BL1","431.BL1",3,admin,"2020-11-15 14:23:19",,,罗茨风机,0,1
1532,1529,3,"431.BL2","431.BL2",3,admin,"2020-11-15 14:23:19",,,罗茨风机,0,1
1533,1529,3,"431.PF1","431.PF1",3,admin,"2020-11-15 14:23:19",,,转子秤,0,0
1534,1529,3,"431.PF2","431.PF2",3,admin,"2020-11-15 14:23:19",,,转子秤,0,0
1535,1529,3,"431.BE1","431.BE1",3,admin,"2020-11-15 14:23:19",,,斗式提升机,0,0
1536,1529,3,"431.BE2","431.BE2",3,admin,"2020-11-15 14:23:20",,,斗式提升机,0,0
1537,1529,3,"431.FN1","431.FN1",3,admin,"2020-11-15 14:23:20",,,离心式通风机,0,1
1538,1529,3,"431.FA2","431.FA2",3,admin,"2020-11-15 14:23:20",,,离心式通风机,0,1
1539,1529,3,"431.FA3","431.FA3",3,admin,"2020-11-15 14:23:20",,,离心式通风机,0,1
1540,1529,3,"431.FA4","431.FA4",3,admin,"2020-11-15 14:23:20",,,离心式通风机,0,1
1541,1529,3,"431.FA5","431.FA5",3,admin,"2020-11-15 14:23:20",,,离心式通风机,0,1
1542,1490,2,"4A","4A",2,admin,"2020-11-15 14:23:21",,,,0,
1543,1542,3,"4A1.CV1","4A1.CV1",3,admin,"2020-11-15 14:23:21",,,链式输送机,0,0
