"id","company_id","facility_one","facility_two","facility_three","monitor_id","plant_id","cost_id","sensor_status","energy","service_time","total_time","sensor_type","sensor_value","create_by","create_time","update_by","update_time","remark","is_del","original_value","batch_time","packet","conversion_id","sensor_id","voltage","facility_type"
8580693,14,"1252","1259","1260",2695,,10,,,,,3,,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1333a10300000000003300000000000000000000000000000000000000003201591200000000100000080062c77f7f","2020-11-14 00:10:00",,6180,2714,,
8580694,14,"1252","1259","1260",2695,,10,0,,,,2,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1333a10300000000003300000000000000000000000000000000000000003201591200000000100000080062c77f7f","2020-11-14 00:10:00",,6179,2714,0.0,
8580695,14,"1252","1259","1260",2695,,10,0,,,,1,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1333a10300000000003300000000000000000000000000000000000000003201591200000000100000080062c77f7f","2020-11-14 00:10:00",,6178,2714,0.0,
8580696,14,"1252","1259","1260",2695,,10,0,,,,0,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1333a10300000000003300000000000000000000000000000000000000003201591200000000100000080062c77f7f","2020-11-14 00:10:00",,6177,2714,0.0,
8580697,14,"1247","1250","1251",2772,,12,0,,,,7,14.400,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1126a1030000000000330000000000000000000000000000000000000000320144120000000010000080006b927f7f","2020-11-14 00:10:00",,6566,2791,0.0,
8580698,14,"1247","1250","1251",2772,,12,,,,,3,,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1126a1030000000000330000000000000000000000000000000000000000320144120000000010000080006b927f7f","2020-11-14 00:10:00",,6565,2791,,
8580699,14,"1247","1250","1251",2772,,12,0,,,,2,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1126a1030000000000330000000000000000000000000000000000000000320144120000000010000080006b927f7f","2020-11-14 00:10:00",,6564,2791,0.0,
8580700,14,"1354","1355","1356",2850,,12,0,,,,7,18.900,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1419a103000000000033000000120000000000140000000000020000000032018912000000001000008000f1f77f7f","2020-11-14 00:10:00",,6956,2869,0.0,
8580701,14,"1247","1250","1251",2772,,12,0,,,,1,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1126a1030000000000330000000000000000000000000000000000000000320144120000000010000080006b927f7f","2020-11-14 00:10:00",,6563,2791,0.0,
8580702,14,"1354","1355","1356",2850,,12,,,,,3,,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1419a103000000000033000000120000000000140000000000020000000032018912000000001000008000f1f77f7f","2020-11-14 00:10:00",,6955,2869,,
8580703,14,"1354","1355","1356",2850,,12,0,,,,2,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1419a103000000000033000000120000000000140000000000020000000032018912000000001000008000f1f77f7f","2020-11-14 00:10:00",,6954,2869,0.0,
8580704,14,"1247","1250","1251",2772,,12,0,,,,0,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1126a1030000000000330000000000000000000000000000000000000000320144120000000010000080006b927f7f","2020-11-14 00:10:00",,6562,2791,0.0,
8580705,14,"1354","1355","1356",2850,,12,0,,,,1,0.140,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1419a103000000000033000000120000000000140000000000020000000032018912000000001000008000f1f77f7f","2020-11-14 00:10:00",,6953,2869,0.0,
8580706,14,"1354","1355","1356",2850,,12,0,,,,0,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1419a103000000000033000000120000000000140000000000020000000032018912000000001000008000f1f77f7f","2020-11-14 00:10:00",,6952,2869,0.0,
8580707,14,"1247","1364","1366",2904,,18,0,,,,7,19.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1316a10300000000003300000000000000000000000000000000000000003001901200000000100000800029dc7f7f","2020-11-14 00:10:00",,7226,2923,0.0,
8580708,14,"1247","1364","1366",2904,,18,,,,,3,,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1316a10300000000003300000000000000000000000000000000000000003001901200000000100000800029dc7f7f","2020-11-14 00:10:00",,7225,2923,,
8580709,14,"1247","1364","1366",2904,,18,0,,,,2,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1316a10300000000003300000000000000000000000000000000000000003001901200000000100000800029dc7f7f","2020-11-14 00:10:00",,7224,2923,0.0,
8580710,14,"1247","1364","1366",2904,,18,0,,,,1,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1316a10300000000003300000000000000000000000000000000000000003001901200000000100000800029dc7f7f","2020-11-14 00:10:00",,7223,2923,0.0,
8580711,14,"1247","1364","1366",2904,,18,0,,,,0,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1316a10300000000003300000000000000000000000000000000000000003001901200000000100000800029dc7f7f","2020-11-14 00:10:00",,7222,2923,0.0,
8580712,14,"1247","1364","1366",2901,,18,0,,,,7,17.500,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1502a103000000000033000000000000000000000000000000000000000030017512000000001000008000c6317f7f","2020-11-14 00:10:00",,7211,2920,0.0,
8580713,14,"1247","1364","1366",2901,,18,,,,,3,,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1502a103000000000033000000000000000000000000000000000000000030017512000000001000008000c6317f7f","2020-11-14 00:10:00",,7210,2920,,
8580714,14,"1252","1253","1255",2685,,10,0,,,,7,14.400,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1384a103000000000033000700000012000600000014000100000002000030014412000000001000008000841e7f7f","2020-11-14 00:10:00",,6131,2704,0.0,
8580715,14,"1247","1364","1366",2901,,18,0,,,,2,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1502a103000000000033000000000000000000000000000000000000000030017512000000001000008000c6317f7f","2020-11-14 00:10:00",,7209,2920,0.0,
8580716,14,"1252","1253","1255",2685,,10,,,,,3,,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1384a103000000000033000700000012000600000014000100000002000030014412000000001000008000841e7f7f","2020-11-14 00:10:00",,6130,2704,,
8580717,14,"1252","1253","1255",2685,,10,0,,,,2,0.140,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1384a103000000000033000700000012000600000014000100000002000030014412000000001000008000841e7f7f","2020-11-14 00:10:00",,6129,2704,0.0,
8580718,14,"1247","1364","1366",2901,,18,0,,,,1,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1502a103000000000033000000000000000000000000000000000000000030017512000000001000008000c6317f7f","2020-11-14 00:10:00",,7208,2920,0.0,
8580719,14,"1252","1253","1255",2685,,10,0,,,,1,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1384a103000000000033000700000012000600000014000100000002000030014412000000001000008000841e7f7f","2020-11-14 00:10:00",,6128,2704,0.0,
8580720,14,"1247","1364","1366",2901,,18,0,,,,0,0.000,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1502a103000000000033000000000000000000000000000000000000000030017512000000001000008000c6317f7f","2020-11-14 00:10:00",,7207,2920,0.0,
8580721,14,"1252","1253","1255",2685,,10,0,,,,0,0.060,自动生成,"2020-11-14 00:00:02",,,,0,"7e7e1384a103000000000033000700000012000600000014000100000002000030014412000000001000008000841e7f7f","2020-11-14 00:10:00",,6127,2704,0.0,
8580722,14,"1252","1259","1260",2694,,10,0,,,,7,14.900,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1400a10300000000003300000000000000000000000000000000000000003001491200000000100000800012c87f7f","2020-11-14 00:10:00",,6176,2713,0.0,
8580723,14,"1252","1259","1260",2694,,10,,,,,3,,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1400a10300000000003300000000000000000000000000000000000000003001491200000000100000800012c87f7f","2020-11-14 00:10:00",,6175,2713,,
8580724,14,"1252","1259","1260",2694,,10,0,,,,2,0.000,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1400a10300000000003300000000000000000000000000000000000000003001491200000000100000800012c87f7f","2020-11-14 00:10:00",,6174,2713,0.0,
8580725,14,"1252","1259","1260",2694,,10,0,,,,1,0.000,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1400a10300000000003300000000000000000000000000000000000000003001491200000000100000800012c87f7f","2020-11-14 00:10:00",,6173,2713,0.0,
8580726,14,"1252","1259","1260",2694,,10,0,,,,0,0.000,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1400a10300000000003300000000000000000000000000000000000000003001491200000000100000800012c87f7f","2020-11-14 00:10:00",,6172,2713,0.0,
8580727,14,"1247","1364","1366",2888,,18,0,,,,7,17.100,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1218a103000000000033000000000013000000000013000000000002000032017112000000001000008000f5667f7f","2020-11-14 00:10:00",,7146,2907,0.0,
8580728,14,"1247","1364","1366",2888,,18,,,,,3,,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1218a103000000000033000000000013000000000013000000000002000032017112000000001000008000f5667f7f","2020-11-14 00:10:00",,7145,2907,,
